habitat	x	y	rho
Bog	Wood_Ljungdahl-methanogen	hydrogenotrophic_methanogenesis-all	0.9890649607658039
Bog	nitrogen_redox-nitrogen_fixation	propionate_fermentation-succinate_pathway	0.8097874096334194
Bog	mannose_degradation-all	urea_degradation-all	0.7803305211492434
Bog	HPHB_DCHB-DCHB	nitrogen_redox-nitrate_reduction	0.7698917597469602
Bog	Wood_Ljungdahl-acetogen	hydrogenotrophic_methanogenesis-all	0.7656236970772077
Bog	chemotaxis-all	lactose_degradation-all	0.7460414632309991
Bog	Calvin_Benson-all	mannose_degradation-all	0.7415191158024719
Bog	carbon_redox-dissimilatory_methanotrophy	mannose_degradation-all	0.7390582588362342
Bog	mannose_degradation-all	nitrogen_redox-assimilatory_nitrate_reduction	0.7365539723348675
Bog	Wood_Ljungdahl-acetogen	Wood_Ljungdahl-methanogen	0.7331935725097306
Bog	lactate_fermentation-all	sulfur_redox-assimilatory_sulfate_reduction	0.7315763491812156
Bog	Wood_Ljungdahl-acetogen	reductive_glycine-acetyl_pathway	0.707930368398332
Bog	carbon_redox-dissimilatory_methanotrophy	ethanol_fermentation-all	0.7003988582062477
Bog	CAZy-Arabinose_cleavage	flagella_assembly-all	0.6970024641170639
Bog	CAZy-Beta_galactan__pectic_galactan_	nitrogen_redox-nitrogen_fixation	0.6864564403445674
Bog	CAZy-Pectin	flagella_assembly-all	0.6700559431224135
Bog	Calvin_Benson-all	nitrogen_redox-assimilatory_nitrate_reduction	0.6660028717960778
Bog	Calvin_Benson-all	carbon_redox-dissimilatory_methanotrophy	0.6635484973881238
Bog	CAZy-Amorphous_Cellulose	fructose_degradation-all	0.6597276800173251
Bog	Wood_Ljungdahl-acetogen	sulfur_redox-dissimilatory_sulfate_reduction	0.6569182911602056
Bog	ethanol_fermentation-all	propionate_fermentation-acrylate_pathway	0.6510129249235925
Bog	glycerol_degradation-glycerone	sulfur_redox-dissimilatory_sulfate_reduction	0.6491546815078739
Bog	CAZy-Beta_galactan__pectic_galactan_	propionate_fermentation-succinate_pathway	0.6474745310959744
Bog	mannose_degradation-all	propionate_fermentation-acrylate_pathway	0.6469972108612672
Bog	CAZy-Arabinose_cleavage	chemotaxis-all	0.6456564356996972
Bog	CAZy-Xylans	chemotaxis-all	0.6452476249778025
Bog	methylotrophic_methanogenesis-h2_indep	nitrogen_redox-nitrate_reduction	0.6380017105158793
Bog	flagella_assembly-all	lactose_degradation-all	0.6235873829836678
Bog	nitrogen_redox-assimilatory_nitrate_reduction	propionate_fermentation-acrylate_pathway	0.6098049835680175
Bog	CAZy-Beta_mannan	xylose_degradation-xylonate_hydratase_pathway	0.6076071338296369
Bog	Wood_Ljungdahl-acetogen	glycerol_degradation-glycerone	0.6015222491731899
Bog	CAZy-Alpha_mannan	ethanol_fermentation-all	0.5997613822531469
Bog	CAZy-Alpha_mannan	nitrogen_redox-assimilatory_nitrate_reduction	0.5957346686894738
Bog	HPHB_DCHB-DCHB	fructose_degradation-all	0.5913844893551755
Bog	hydrogenotrophic_methanogenesis-all	reductive_glycine-acetyl_pathway	0.5910337413124404
Bog	CAZy-Alpha_mannan	urea_degradation-all	0.5889623882771207
Bog	CAZy-Starch	sulfur_redox-assimilatory_sulfate_reduction	0.5767979842904287
Bog	Calvin_Benson-all	propionate_fermentation-acrylate_pathway	0.5763458856898611
Bog	CAZy-Polyphenolics	flagella_assembly-all	0.5718364343452065
Bog	CAZy-Alpha_mannan	mannose_degradation-all	0.568889678466103
Bog	HPHB_DCHB-DCHB	methylotrophic_methanogenesis-h2_indep	0.5648494227553541
Bog	CAZy-Beta_mannan	phosphorous_redox-assimilatory_phosphonate_oxidation	0.5558397560384194
Bog	mannose_degradation-all	phosphorous_redox-assimilatory_phosphonate_oxidation	0.5554197774608745
Bog	CAZy-Alpha_mannan	CAZy-Beta_mannan	0.554095758091969
Bog	Wood_Ljungdahl-methanogen	reductive_glycine-acetyl_pathway	0.5473732536548485
Bog	fructose_degradation-all	nitrogen_redox-nitrate_reduction	0.5456218303375386
Bog	HPHB_DCHB-DCHB	sulfur_redox-dissimilatory_sulfate_reduction	0.544005327424272
Bog	CAZy-Beta_mannan	butanoate_fermentation-acetyl_coa_pathway	0.5393665318848322
Bog	CAZy-Beta_mannan	propionate_fermentation-acrylate_pathway	0.5387697684357291
Bog	CAZy-Mucin	CAZy-Polyphenolics	0.538441186997015
Bog	CAZy-Xyloglucan	acetogenesis-simple	0.5326458785541593
Bog	CAZy-Pectin	CAZy-Polyphenolics	0.5313581843542978
Bog	nitrogen_redox-nitrogen_fixation	reductive_glycine-acetyl_pathway	0.5305409512104629
Bog	CAZy-Starch	lactate_fermentation-all	0.5259224556872064
Bog	butanoate_fermentation-acetyl_coa_pathway	sulfur_redox-dissimilatory_sulfur_oxidation	0.5242898338951771
Bog	glycerol_degradation-glycerol	lactate_fermentation-all	0.5236699227231663
Bog	CAZy-Alpha_galactans	Wood_Ljungdahl-acetogen	0.5228309169456038
Bog	ethanol_fermentation-all	mannose_degradation-all	0.5222762441919278
Bog	HPHB_DCHB-DCHB	glycerol_degradation-glycerone	0.521147176402821
Bog	CAZy-Mixed_Linkage_glucans	propionate_fermentation-succinate_pathway	0.5206623826197998
Bog	ethanol_fermentation-all	nitrogen_redox-assimilatory_nitrate_reduction	0.5184140300497975
Bog	Calvin_Benson-all	ethanol_fermentation-all	0.5127012820564425
Bog	CAZy-Alpha_mannan	carbon_redox-dissimilatory_methanotrophy	0.5124495143062178
Bog	CAZy-Alpha_mannan	propionate_fermentation-acrylate_pathway	0.5121814119506417
Bog	Calvin_Benson-all	butanoate_fermentation-acetyl_coa_pathway	0.5068459478290281
Bog	CAZy-Xylans	flagella_assembly-all	0.5045557674913981
Bog	carbon_redox-dissimilatory_methanotrophy	urea_degradation-all	0.5022015418649541
Bog	phosphorous_redox-assimilatory_phosphonate_oxidation	xylose_degradation-xylonate_hydratase_pathway	0.5012662579633191
Bog	CAZy-Alpha_mannan	phosphorous_redox-assimilatory_phosphonate_oxidation	0.49972368329792705
Bog	CAZy-Mixed_Linkage_glucans	HPHB_DCHB-DCHB	0.49799610295899577
Bog	CAZy-Beta_mannan	nitrogen_redox-assimilatory_nitrate_reduction	0.4978255211360141
Bog	mannose_degradation-all	sulfur_redox-assimilatory_sulfate_reduction	0.496848738612356
Bog	carbon_redox-assimilatory_methanotrophy	glycerol_degradation-glycerol	0.49609377194479376
Bog	CAZy-Mucin	sulfur_redox-assimilatory_sulfate_reduction	0.495514275138203
Bog	CAZy-Alpha_mannan	butanoate_fermentation-acetyl_coa_pathway	0.49400557196556105
Bog	CAZy-Beta_mannan	carbon_redox-dissimilatory_methanotrophy	0.4883062914583477
Bog	CAZy-Alpha_mannan	CAZy-Polyphenolics	0.483514479157786
Bog	CAZy-Mixed_Linkage_glucans	galacturonic_acid_degradation-all	0.4793172355935654
Bog	methylotrophic_methanogenesis-h2_indep	sulfur_redox-dissimilatory_sulfate_reduction	0.4778484297703782
Bog	CAZy-Beta_mannan	mannose_degradation-all	0.47752715983478977
Bog	CAZy-Mucin	lactate_fermentation-all	0.47449649571073305
Bog	butanoate_fermentation-acetyl_coa_pathway	ethanol_fermentation-all	0.47390506910223285
Bog	glycerol_degradation-glycerone	methylotrophic_methanogenesis-h2_indep	0.472416542242833
Bog	carbon_redox-assimilatory_methanotrophy	lactate_fermentation-all	0.4677015459038242
Bog	CAZy-Beta_galactan__pectic_galactan_	fructose_degradation-all	0.4665706721700935
Bog	sulfur_redox-dissimilatory_sulfate_reduction	sulfur_redox-dissimilatory_sulfur_oxidation	0.4644338518144473
Bog	CAZy-Beta_mannan	urea_degradation-all	0.46264668807856957
Bog	HPHB_DCHB-DCHB	phosphorous_redox-phosphite_oxidation	0.46159599043835386
Bog	HPHB_DCHB-DCHB	galactose_degradation-all	0.4600202103788025
Bog	CAZy-Alpha_galactans	reductive_glycine-serine_pathway	0.4570777409637111
Bog	CAZy-Sulf_Polysachharides	fructose_degradation-all	0.4560529287414171
Bog	phosphorous_redox-assimilatory_phosphonate_oxidation	sulfur_redox-assimilatory_sulfate_reduction	0.450781800006669
Bog	CAZy-Alpha_mannan	Calvin_Benson-all	0.4494640935027656
Bog	carbon_redox-dissimilatory_methanotrophy	phosphorous_redox-assimilatory_phosphonate_oxidation	0.4438612444676264
Bog	Wood_Ljungdahl-acetogen	reductive_glycine-serine_pathway	0.4428393695312174
Bog	CAZy-Fucose_Cleavage	nitrogen_redox-nitrate_reduction	0.44075005208757145
Bog	flagella_assembly-all	sucrose_degradation-all	0.43968025493945795
Bog	butanoate_fermentation-acetyl_coa_pathway	mannose_degradation-all	0.43741264876822294
Bog	CAZy-Polyphenolics	xylose_degradation-xylonate_hydratase_pathway	0.4361964827350079
Bog	CAZy-Amorphous_Cellulose	Wood_Ljungdahl-acetogen	0.43386961315447503
Bog	CAZy-Sulf_Polysachharides	HPHB_DCHB-DCHB	0.4303857724254214
Bog	butanoate_fermentation-acetyl_coa_pathway	nitrogen_redox-assimilatory_nitrate_reduction	0.4303582385488547
Bog	HPHB_DCHB-DCHB	Wood_Ljungdahl-acetogen	0.4281661329215729
Bog	propionate_fermentation-acrylate_pathway	urea_degradation-all	0.4276423190620958
Bog	CAZy-Rhamnose_cleavage	nitrogen_redox-nitrogen_fixation	0.42745315890858304
Bog	Wood_Ljungdahl-acetogen	methylotrophic_methanogenesis-h2_indep	0.4259691960213059
Bog	CAZy-Alpha_mannan	sulfur_redox-assimilatory_sulfate_reduction	0.42532561909929933
Bog	CAZy-Beta_mannan	ethanol_fermentation-all	0.4200783671698878
Bog	acetogenesis-simple	galactose_degradation-all	0.4199376168942014
Bog	glycerol_degradation-glycerone	propionate_fermentation-succinate_pathway	0.41977380484658366
Bog	sulfur_redox-assimilatory_sulfate_reduction	xylose_degradation-isomerase_pathway	0.41934707486206935
Bog	ethanol_fermentation-all	urea_degradation-all	0.4183369641785043
Bog	CAZy-Mixed_Linkage_glucans	nitrogen_redox-nitrogen_fixation	0.41800140070031255
Bog	acetogenesis-simple	fructose_degradation-all	0.41534944533151397
Bog	butanoate_fermentation-acetyl_coa_pathway	urea_degradation-all	0.41438380388097273
Bog	CAZy-Amorphous_Cellulose	CAZy-Sulf_Polysachharides	0.41109710400767796
Bog	CAZy-Beta_galactan__pectic_galactan_	HPHB_DCHB-DCHB	0.4097470203746223
Bog	CAZy-Sulf_Polysachharides	phosphorous_redox-anabolic_phosphate_reduction	0.4048549229262689
Bog	CAZy-Amorphous_Cellulose	phosphorous_redox-anabolic_phosphate_reduction	0.4027982139100079
