Methylococcus_capsulatus_1798	pmoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__Methylococcus_capsulatus
Methylomonas_methanica_0303	pmoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas_methanica
Methylocystis_parvus_03110	pmoC; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__Methylocystis_parvus
Methylocystis_rosea_01975	pmoC; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__Methylocystis_rosea
Methylotuvimicrobium_alcaliphilum_0514	pmoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylotuvimicrobium; s__Methylotuvimicrobium_alcaliphilum
Methylomonas_paludis_05605	pmoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas_paludis
Methylocaldum_marinum_1789	pmoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylocaldum; s__Methylocaldum_marinum
Nitrosococcus_oceani_2503	amoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Nitrosococcus; s__Nitrosococcus_oceani
Nitrosococcus_watsonii_0631	amoC; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Nitrosococcus; s__Nitrosococcus_watsonii
Nitrospira_multiformis_A0798	amoC; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrospira_multiformis
Nitrospira_lacus_001860	amoC; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosospira; s__Nitrospira_lacus
