"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "711_P-1-D" "711_P-2-D" "711_S-2-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "712_P-3-D" "712_S-1-X" "712_S-2-X" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "713_S-2-D" "713_S-2-X0" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "714_P1_30-34" "714_S1_20-24" "714_S1_30-34" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "715_S2_30-34" "715_S3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "716_S3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34" "717_S2_30-34" "717_S3_20-24"
"20120600_E1D_5" 0.18172793 1.0609742 2.869574 0.32482383 0 0 1.1687006 0.57167387 1.5285602 0 0 0 1.1142923 0.13786152 0.2548627 1.1337245 0.5363951 0.07255782 0.61912 0.8518952 0 0 0 0.91683483 0.92371213 0.724152 0.49519077 0 0.11854453 0.47878575 0.13684042 0 0 0.91468716 0.07691557 0.31054595 0 0 0 0 0.11964275 0.14566818 0 0 0.11635004 0 0 0 0 0 0.6471232 2.7534194 0.25851658 0.30915293 0.22059621 3.466593 1.2056097 0.88593817 0 0 0 0.40542454 0.22055715 0.056619447 0 0.8363795 0.67947537 0 1.828608 0.4096056 0.16563727 0.8943598 0.7455581 0 0 0
"20120600_E3D_36" 2.6755035 2.2503443 0 2.0796626 0.62229705 0.18530399 0.4401543 0.18307316 1.0352595 0 0 0 0 0 0.64858407 1.7916507 0.62529063 0.34188992 1.6295887 0.42749888 0 0 0 0.6648871 0.37805352 0.13843241 0 0 1.2804383 1.299164 0.85047233 0.11263243 0 1.4875982 0.49174178 0 0 0 0 0 0 0 0 0 0.18685932 0 0.070399165 0 0 0 1.1028223 1.8250091 1.1560968 0.90651387 0.74969655 1.0305048 0.09308708 0.11402912 0 0 2.3212361 1.0605073 0.5484304 0.4318781 0.66560763 1.4279852 0.5103103 0 0.9575582 0.13941203 0.17217883 1.7385833 0.96665126 0.2770685 0 0
"3300038519_6" 0 0.10836646 0 0.25888115 0.34063935 0 1.514708 0.7003574 0 0 0 0 0.57737297 0 0.13358429 0.17215058 0 0 0.13530526 0 0 0 0 0.07240287 0.23961632 0 0 0 0 0 0 0 0 0.09103076 0 0 0 0 0 0 3.3592622 2.4577894 0.3492156 0 0.5738871 0.41084558 0 0 0 0 0.24569026 0.9056358 0 0 1.6649266 1.2462245 0.081626296 0.057587046 0 0 0.40630937 0.23016788 0.06490701 0 0 0 0 0 0.73694324 0.77627546 0.07915186 0 0.06787984 0 0 0
"PMAZ01" 1.8541278 2.0491881 0.21521768 1.2642115 1.8833091 0.0564278 4.618733 1.772214 0.38094637 0 0 0 1.100634 0 0.36542425 0.66858494 0.24643967 0.26818487 1.33989 0.25341645 0 0 0 0.9033279 0.81156933 0.17175865 0 0 0.9746924 0.52484024 0.3204946 0.06734331 0.17088386 1.2098645 0.098743014 0.185419 0.23123993 0 0 0 1.3444158 1.3559084 0.90098906 0 0.5781595 0.43185315 0.06507218 0 0 0 0.88974726 2.3378053 0.30587748 0.28441784 1.1656077 2.1864219 0.93893695 0.3915659 0 0 2.197207 1.7555574 0.49392742 0.28774035 0.38018933 1.0957159 0.2616097 0 1.6640389 2.221904 0.6629093 0.5414341 0.5221702 0.06289513 0 0
"20170700_S35_8" 0.6845383 1.8120631 0.2231322 0.8381502 2.4799473 0 2.241584 1.0271219 0.20976587 0 0 0 3.0305147 0.10420782 0.58489424 0.4460518 0.23963945 0.07127467 0.35877597 0.31575125 0 0 0 0.31474262 0.70908177 0 0 0 0.29720664 0.3143774 0.17635772 0 0 2.0748124 0.059919484 0 0.08859198 0 0 0 1.4104304 2.0966842 3.9103937 0.92911065 0.5065924 1.6360085 0 0 0 0 1.3328582 1.4239097 0.40201324 0.26496544 0.7160897 1.951574 2.8575618 0.8951077 0 0 0.91515255 1.8297732 0.19103229 0.15657438 0.11926642 0.9847883 0.12280188 0 1.4676989 3.6707237 3.0448613 0.21928576 0.98994213 0 0 0
"20110800_E2D_12" 1.2702421 1.3518457 0.5683106 2.4152324 1.3616477 0.6000491 1.3753566 1.0654874 1.3916517 0 0 0 0.12620075 0.090514585 0.4727025 0.92978454 1.6664301 0.2605585 1.1295164 1.3707358 0 0 0 0.9874694 1.2212764 0.45755142 1.3166043 1.2599945 0.76392347 0.63973916 1.3166043 0.7175826 1.9015781 1.2030466 0.59937435 2.0813098 2.2973537 1.127338 0 0 0 0 0 0.10887818 0.06727896 0.0673454 0.48227873 0 0 0 2.0686975 2.5551913 1.6504306 1.4324774 0 1.6514137 0.9017893 0.68907624 0 0 0.93923897 2.2882512 1.8999032 1.1736227 0.17572863 1.631693 1.453613 0 1.7530149 1.3485608 1.046674 0.82644373 1.2080243 0.5429878 0 0
"20110800_E1S_5" 3.014194 1.7053969 0.18939635 4.0105443 0.490884 0 7.8744884 1.6750845 0.37504694 0 0 0 0.89478415 0 2.0607126 2.1352348 0.75015175 0.5087039 2.5020306 0.379105 0 0 0 0.6631691 0.555352 0 0 0 1.5614798 0.8791954 0.15855189 0 0 0.531887 0.3048663 0 0 0 0 0 0.8369231 0.39502004 0 0 0.5058883 0.07169039 0 0 0 0 0.56512696 4.605061 0.27152956 0.29256126 1.1739604 5.129619 0.17750102 0.06614329 0 0 2.473276 0.56466675 0.11331066 0.13357046 0.8191325 0.26796886 0.0893678 0 2.6474319 3.2694743 0.11319621 2.1021938 0.6622279 0.12953737 0 0
"PMKW01" 0.46646318 4.0110464 5.375864 0.4875212 0.8108071 2.917571 13.261683 6.633 2.8929646 0 0 0 4.8818526 1.9970617 1.2667388 1.0725075 6.371295 0.39672917 0.45546293 4.724557 0 0 0 0.45938465 1.0203847 0.20944831 0 0 0.12031092 1.7842947 0.3732321 0.0946522 0.30663103 1.4904428 1.8594564 0.12203603 0 0 0 0 1.2227783 2.4235883 2.59662 1.2679851 0.9852744 0.5376427 0.6213413 0 0 0 2.4899364 4.5575404 1.5980372 2.9092822 2.5133803 3.9563212 0.9939327 1.8321636 0 0 0.5102533 1.5785335 1.7631474 2.5541456 0 0.78085834 1.954529 0 5.3912873 7.7325535 2.4395509 0.3956719 1.4001106 4.228465 0 0
"PMNG01" 1.5004817 4.0416565 2.932596 3.3901756 3.9355254 1.0414423 2.8272848 4.170179 3.3716018 0 0 0 2.0366583 0.5820214 0.8379837 0.68503016 4.0369105 0.75364155 1.2064472 4.6258817 0 0 0 1.041722 1.6002338 0.26938912 0.18258357 0 1.1041766 2.215466 3.0761704 0.55261457 0.123836055 2.1480086 1.2060841 0.13511416 0.079746224 0 0 0 0 0.32475913 4.3588886 1.8003923 0 0.063693725 0.21161784 0 0 0 6.299407 1.7509824 5.2985077 4.441882 0.13064118 2.9083009 4.425372 3.7634404 0 0 0.79053336 3.3528297 3.9698863 3.1961238 0.35106796 5.14631 4.282833 0 2.8159683 7.206364 5.3855186 0.980055 3.3832517 1.8536901 0 0
"3300037104_19" 5.3005505 9.054543 5.6484556 4.347207 9.000399 7.418056 9.423485 5.7721066 6.461941 0 0 0 10.568144 5.0784574 3.2046494 3.1490374 8.772396 1.2856151 3.3524852 6.2876434 0 0 0 2.4235334 3.9791331 3.4865885 2.1403918 3.8691087 2.8124497 4.335869 4.0701394 0.5716746 1.839899 7.176915 3.304916 2.9055464 1.85692 1.2739452 0 0 1.7773846 2.684776 4.962321 6.2500844 1.6449114 3.6824696 5.985179 0 0 0 9.79712 3.5151186 7.0727434 5.1585865 3.2335107 8.322485 3.053714 2.2357693 0 0 2.951208 4.9536304 4.774944 3.8809872 0.9763026 8.171002 5.0295167 0 9.203525 8.070816 2.3491757 5.9242306 6.983747 4.175089 0 0
