"","net$colors","mergedColors"
"20100900_E1D_10",5,"green"
"20110600_P1M_18",2,"blue"
"20110600_P3S_4",3,"brown"
"20110600_P3S_5",3,"brown"
"20110600_S1D_11",2,"blue"
"20110600_S1D_15",2,"blue"
"20110600_S1D_17",2,"blue"
"20110600_S1M_11",2,"blue"
"20110600_S1S_4",9,"magenta"
"20110600_S3M_2",5,"green"
"20110700_P1S_11",3,"brown"
"20110700_P1S_2",8,"pink"
"20110700_P2D_11",2,"blue"
"20110700_P2D_26",0,"grey"
"20110700_P2D_27",5,"green"
"20110700_P2D_9",5,"green"
"20110700_S2D_14",2,"blue"
"20110700_S2D_21",2,"blue"
"20110700_S2D_6",5,"green"
"20110700_S3M_11",2,"blue"
"20110700_S3M_12",2,"blue"
"20110700_S3M_15",3,"brown"
"20110700_S3M_18",0,"grey"
"20110800_E2D_15",2,"blue"
"20110800_E2D_31",5,"green"
"20110800_E3D_18",5,"green"
"20110800_E3D_9",2,"blue"
"20110800_P2D_9",0,"grey"
"20110800_P3S_8",3,"brown"
"20110800_S1D_14",2,"blue"
"20110800_S1D_5",5,"green"
"20110800_S1M_17",2,"blue"
"20110800_S1M_20",5,"green"
"20110800_S1M_32",5,"green"
"20110800_S1M_8",2,"blue"
"20110800_S1S_1",7,"black"
"20110800_S1S_12",6,"red"
"20110800_S1S_13",7,"black"
"20110800_S1S_18",6,"red"
"20110800_S1S_3",4,"yellow"
"20110800_S1S_6",7,"black"
"20110800_S1S_8",6,"red"
"20110800_S1S_9",7,"black"
"20110800_S2M_3",2,"blue"
"20110800_S2M_9",1,"turquoise"
"20110800_S3D_10",0,"grey"
"20110800_S3D_14",2,"blue"
"20110800_S3D_19",2,"blue"
"20110800_S3D_28",2,"blue"
"20110800_S3D_3",2,"blue"
"20110800_S3M_18",1,"turquoise"
"20110800_S3S_11",6,"red"
"20110800_S3S_12",7,"black"
"20110800_S3S_13",7,"black"
"20110800_S3S_2",6,"red"
"20110800_S3S_21",6,"red"
"20110800_S3S_23",10,"purple"
"20110800_S3S_24",10,"purple"
"20110800_S3S_25",4,"yellow"
"20110800_S3S_26",7,"black"
"20110800_S3S_27",4,"yellow"
"20110800_S3S_28",7,"black"
"20110800_S3S_31",6,"red"
"20110800_S3S_33",6,"red"
"20110800_S3S_35",3,"brown"
"20110800_S3S_4",4,"yellow"
"20110800_S3S_8",6,"red"
"20110800_S3S_9",7,"black"
"20111000_P1S_2",3,"brown"
"20111000_P1S_5",0,"grey"
"20111000_P2D_13",0,"grey"
"20111000_P2D_14",0,"grey"
"20111000_P2D_3",0,"grey"
"20111000_P2S_1",3,"brown"
"20111000_S1D_12",1,"turquoise"
"20111000_S1D_14",1,"turquoise"
"20111000_S1D_3",1,"turquoise"
"20111000_S1D_6",1,"turquoise"
"20111000_S2M_4",1,"turquoise"
"20111000_S2S_6",6,"red"
"20111000_S2S_7",6,"red"
"20111000_S3M_6",4,"yellow"
"20111000_S3S_10",6,"red"
"20111000_S3S_11",6,"red"
"20111000_S3S_12",6,"red"
"20111000_S3S_4",6,"red"
"20111000_S3S_5",6,"red"
"20111000_S3S_7",6,"red"
"20111000_S3S_8",6,"red"
"20111000_S3S_9",6,"red"
"20120500_P13_5",0,"grey"
"20120500_P17_2",3,"brown"
"20120500_P23_6",3,"brown"
"20120500_P24_5",0,"grey"
"20120500_P26_12",5,"green"
"20120500_P26_5",5,"green"
"20120500_P26_8",2,"blue"
"20120500_P28_11",2,"blue"
"20120500_P31_3",3,"brown"
"20120500_P32_2",3,"brown"
"20120500_P32_6",2,"blue"
"20120500_P38_6",5,"green"
"20120600_E1D_19",2,"blue"
"20120600_E1D_41",5,"green"
"20120600_E2D_21",3,"brown"
"20120600_E2D_28",1,"turquoise"
"20120600_E2D_39",5,"green"
"20120600_E3D_3",0,"grey"
"20120600_P2M_9",3,"brown"
"20120600_P3M_10",3,"brown"
"20120600_P3M_11",3,"brown"
"20120600_P3M_6",3,"brown"
"20120600_P3M_9",3,"brown"
"20120600_S1D_1",2,"blue"
"20120600_S1D_7",2,"blue"
"20120600_S1S_4",4,"yellow"
"20120600_S2D_17",1,"turquoise"
"20120600_S2D_6",2,"blue"
"20120600_S2M_11",1,"turquoise"
"20120600_S2M_9",1,"turquoise"
"20120600_S3D_1",1,"turquoise"
"20120600_S3D_7",1,"turquoise"
"20120600_S3M_3",1,"turquoise"
"20120700_P1D_3",5,"green"
"20120700_P1D_9",0,"grey"
"20120700_P1M_1",3,"brown"
"20120700_P2D_1",0,"grey"
"20120700_P2D_11",3,"brown"
"20120700_P2M_1",3,"brown"
"20120700_P3D_101",1,"turquoise"
"20120700_P3D_102",5,"green"
"20120700_P3D_12",5,"green"
"20120700_P3D_139",0,"grey"
"20120700_P3D_142",5,"green"
"20120700_P3D_148",2,"blue"
"20120700_P3D_24",1,"turquoise"
"20120700_P3D_3",0,"grey"
"20120700_P3D_35",2,"blue"
"20120700_P3D_40",0,"grey"
"20120700_P3D_58",0,"grey"
"20120700_P3D_74",3,"brown"
"20120700_P3D_83",3,"brown"
"20120700_P3D_87",2,"blue"
"20120700_P3D_9",5,"green"
"20120700_P3S_1",3,"brown"
"20120700_S1D_102",1,"turquoise"
"20120700_S1D_103",2,"blue"
"20120700_S1D_104",1,"turquoise"
"20120700_S1D_106",2,"blue"
"20120700_S1D_107",2,"blue"
"20120700_S1D_108",1,"turquoise"
"20120700_S1D_113",1,"turquoise"
"20120700_S1D_114",1,"turquoise"
"20120700_S1D_115",2,"blue"
"20120700_S1D_12",2,"blue"
"20120700_S1D_13",2,"blue"
"20120700_S1D_19",1,"turquoise"
"20120700_S1D_20",1,"turquoise"
"20120700_S1D_21",1,"turquoise"
"20120700_S1D_24",1,"turquoise"
"20120700_S1D_25",2,"blue"
"20120700_S1D_26",0,"grey"
"20120700_S1D_27",1,"turquoise"
"20120700_S1D_28",1,"turquoise"
"20120700_S1D_29",1,"turquoise"
"20120700_S1D_30",2,"blue"
"20120700_S1D_31",1,"turquoise"
"20120700_S1D_33",2,"blue"
"20120700_S1D_35",6,"red"
"20120700_S1D_39",1,"turquoise"
"20120700_S1D_41",2,"blue"
"20120700_S1D_43",1,"turquoise"
"20120700_S1D_45",1,"turquoise"
"20120700_S1D_46",1,"turquoise"
"20120700_S1D_48",1,"turquoise"
"20120700_S1D_49",1,"turquoise"
"20120700_S1D_5",1,"turquoise"
"20120700_S1D_51",1,"turquoise"
