"genome" "711_E-1-S" "711_E-1-M" "711_E-1-D" "711_E-2-S" "711_E-2-M" "711_E-2-D" "711_E-3-S" "711_E-3-M" "711_E-3-D" "712_E-1-M" "712_E-1-D" "712_E-2-S" "712_E-2-M" "712_E-2-D" "712_E-3-S" "712_E-3-M" "712_E-3-D" "713_E-1-S" "713_E-1-M" "713_E-1-D" "713_E-1-X0" "713_E-1-X1" "713_E-2-S" "713_E-2-M" "713_E-2-D" "713_E-2-X0" "713_E-2-X1" "713_E-3-S" "713_E-3-M" "713_E-3-D" "713_E-3-X0" "713_E-3-X1" "714_E1_1-5" "714_E1_5-9" "714_E1_20-24" "714_E1_30-34" "714_E2_1-5" "714_E2_5-9" "714_E2_20-24" "715_E1_1-5" "715_E2_1-5" "715_E2_20-24" "715_E2_30-34" "715_E3_1-5" "715_E3_10-14" "715_E3_20-24" "715_E3_30-34" "716_E1_1-5" "716_E1_10-14" "716_E1_20-24" "716_E1_30-34" "716_E3_1-5" "716_E3_10-14" "716_E3_30-34" "717_E2_1-5" "717_E2_10-14" "717_E2_20-24" "717_E3_1-5" "717_E3_10-14" "717_E3_30-34"
"20120600_E1D_5" 0.18172793 1.0609742 2.869574 0.32482383 0 0 1.1687006 0.57167387 1.5285602 1.1142923 0.13786152 0.2548627 1.1337245 0.5363951 0.07255782 0.61912 0.8518952 0.91683483 0.92371213 0.724152 0.49519077 0 0.11854453 0.47878575 0.13684042 0 0 0.91468716 0.07691557 0.31054595 0 0 0.11964275 0.14566818 0 0 0.11635004 0 0 0.6471232 2.7534194 0.25851658 0.30915293 0.22059621 3.466593 1.2056097 0.88593817 0 0.40542454 0.22055715 0.056619447 0 0.8363795 0.67947537 1.828608 0.4096056 0.16563727 0.8943598 0.7455581 0
"20120600_E3D_36" 2.6755035 2.2503443 0 2.0796626 0.62229705 0.18530399 0.4401543 0.18307316 1.0352595 0 0 0.64858407 1.7916507 0.62529063 0.34188992 1.6295887 0.42749888 0.6648871 0.37805352 0.13843241 0 0 1.2804383 1.299164 0.85047233 0.11263243 0 1.4875982 0.49174178 0 0 0 0 0 0 0 0.18685932 0 0.070399165 1.1028223 1.8250091 1.1560968 0.90651387 0.74969655 1.0305048 0.09308708 0.11402912 2.3212361 1.0605073 0.5484304 0.4318781 0.66560763 1.4279852 0.5103103 0.9575582 0.13941203 0.17217883 1.7385833 0.96665126 0.2770685
"3300038519_6" 0 0.10836646 0 0.25888115 0.34063935 0 1.514708 0.7003574 0 0.57737297 0 0.13358429 0.17215058 0 0 0.13530526 0 0.07240287 0.23961632 0 0 0 0 0 0 0 0 0.09103076 0 0 0 0 3.3592622 2.4577894 0.3492156 0 0.5738871 0.41084558 0 0.24569026 0.9056358 0 0 1.6649266 1.2462245 0.081626296 0.057587046 0.40630937 0.23016788 0.06490701 0 0 0 0 0.73694324 0.77627546 0.07915186 0 0.06787984 0
"PMAZ01" 1.8541278 2.0491881 0.21521768 1.2642115 1.8833091 0.0564278 4.618733 1.772214 0.38094637 1.100634 0 0.36542425 0.66858494 0.24643967 0.26818487 1.33989 0.25341645 0.9033279 0.81156933 0.17175865 0 0 0.9746924 0.52484024 0.3204946 0.06734331 0.17088386 1.2098645 0.098743014 0.185419 0.23123993 0 1.3444158 1.3559084 0.90098906 0 0.5781595 0.43185315 0.06507218 0.88974726 2.3378053 0.30587748 0.28441784 1.1656077 2.1864219 0.93893695 0.3915659 2.197207 1.7555574 0.49392742 0.28774035 0.38018933 1.0957159 0.2616097 1.6640389 2.221904 0.6629093 0.5414341 0.5221702 0.06289513
"20170700_S35_8" 0.6845383 1.8120631 0.2231322 0.8381502 2.4799473 0 2.241584 1.0271219 0.20976587 3.0305147 0.10420782 0.58489424 0.4460518 0.23963945 0.07127467 0.35877597 0.31575125 0.31474262 0.70908177 0 0 0 0.29720664 0.3143774 0.17635772 0 0 2.0748124 0.059919484 0 0.08859198 0 1.4104304 2.0966842 3.9103937 0.92911065 0.5065924 1.6360085 0 1.3328582 1.4239097 0.40201324 0.26496544 0.7160897 1.951574 2.8575618 0.8951077 0.91515255 1.8297732 0.19103229 0.15657438 0.11926642 0.9847883 0.12280188 1.4676989 3.6707237 3.0448613 0.21928576 0.98994213 0
"20110800_E1S_5" 3.014194 1.7053969 0.18939635 4.0105443 0.490884 0 7.8744884 1.6750845 0.37504694 0.89478415 0 2.0607126 2.1352348 0.75015175 0.5087039 2.5020306 0.379105 0.6631691 0.555352 0 0 0 1.5614798 0.8791954 0.15855189 0 0 0.531887 0.3048663 0 0 0 0.8369231 0.39502004 0 0 0.5058883 0.07169039 0 0.56512696 4.605061 0.27152956 0.29256126 1.1739604 5.129619 0.17750102 0.06614329 2.473276 0.56466675 0.11331066 0.13357046 0.8191325 0.26796886 0.0893678 2.6474319 3.2694743 0.11319621 2.1021938 0.6622279 0.12953737
"20120700_E3M_5" 0.09624537 0.14085938 0 0 0 0 0.22132984 0.13948983 0 0 0 0 0 0 0.11728185 1.0350659 0 0 0 0 0 0 0.07992724 0.22309005 0 0 0 0.071776494 0 0 0 0 0 0 0 0 0 0 0 0 0.2711047 0 0 0.27952093 0 0 0 0.68166935 0.096429214 0 0 0 0.24201573 0 0.30899322 0.26760527 0 1.1923959 0.534042 0
"PMKW01" 0.46646318 4.0110464 5.375864 0.4875212 0.8108071 2.917571 13.261683 6.633 2.8929646 4.8818526 1.9970617 1.2667388 1.0725075 6.371295 0.39672917 0.45546293 4.724557 0.45938465 1.0203847 0.20944831 0 0 0.12031092 1.7842947 0.3732321 0.0946522 0.30663103 1.4904428 1.8594564 0.12203603 0 0 1.2227783 2.4235883 2.59662 1.2679851 0.9852744 0.5376427 0.6213413 2.4899364 4.5575404 1.5980372 2.9092822 2.5133803 3.9563212 0.9939327 1.8321636 0.5102533 1.5785335 1.7631474 2.5541456 0 0.78085834 1.954529 5.3912873 7.7325535 2.4395509 0.3956719 1.4001106 4.228465
"3300037104_19" 5.3005505 9.054543 5.6484556 4.347207 9.000399 7.418056 9.423485 5.7721066 6.461941 10.568144 5.0784574 3.2046494 3.1490374 8.772396 1.2856151 3.3524852 6.2876434 2.4235334 3.9791331 3.4865885 2.1403918 3.8691087 2.8124497 4.335869 4.0701394 0.5716746 1.839899 7.176915 3.304916 2.9055464 1.85692 1.2739452 1.7773846 2.684776 4.962321 6.2500844 1.6449114 3.6824696 5.985179 9.79712 3.5151186 7.0727434 5.1585865 3.2335107 8.322485 3.053714 2.2357693 2.951208 4.9536304 4.774944 3.8809872 0.9763026 8.171002 5.0295167 9.203525 8.070816 2.3491757 5.9242306 6.983747 4.175089
"20110800_E2S_11" 1.2595232 2.3661234 1.7231553 2.8571742 4.1478806 0.8124759 5.6154885 3.636355 0.922316 2.5445545 0.530864 1.4807144 3.0449295 1.0082383 0.13848865 0.38991493 0.8559582 1.3002151 1.8013406 0.441414 0.18713109 0 0.41407284 1.0247684 0.49293974 0.16144747 0.173127 2.1194878 0.21781239 0.05826501 0 0 0.84645367 1.285539 4.015183 2.634246 0.6246875 0.12705898 0.83534503 2.7382064 2.6490653 1.3091366 1.0660926 1.3655671 3.317641 2.7992876 0.99269795 1.3624202 2.4938736 1.4372896 0.9378604 0.07980643 1.6130888 0.57864696 4.50286 3.7380018 2.127815 0.4497251 1.1880318 0.19519882
"PMMV01" 1.7271641 1.1335206 0.49656692 0.8688394 0.7907274 0 2.903247 1.564342 0.53485334 3.8601794 0.1189457 0.50586283 0.4020783 0.48401767 0.2286546 1.2015895 0.53178275 0.13721928 0.43119475 0 0 0 0.7184278 0.63225037 0.4276349 0.09707158 0 0.9098464 0.15576202 0 0 0 0.8369845 3.181703 3.9156148 1.0699657 0.28143847 1.1146586 0 0.6819007 1.3013165 1.4743885 0.8705948 0.51675975 2.3576128 1.5852666 0.795535 0.9517601 0.9679439 0.2886028 0.23148276 0.27523658 0.8531956 0.3128654 1.0379387 2.128424 1.5728571 0.38960594 0.23417439 0.059447218
"Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00" 0.71127456 0.48460945 0.06865868 0.23754485 0.07247626 0 1.4275815 0.61634874 0.25945106 0.64032924 0 0.30618167 0.25424227 0.121787846 0.29181695 1.5071995 0.11822399 0 0 0 0 0 0.5626809 0.58331615 0.31825116 0 0 0.22114097 0 0 0 0 0.19834712 0.65210444 0.3886781 0 0 0.08750847 0 0.15512648 0.9493074 0.15059926 0.099111885 1.5178521 2.216061 0.16551203 0.13200709 0.48672122 0.20785828 0 0 0.26901218 0.44481292 0 1.6381145 0.7423984 0.16204341 0.8753923 0.14200151 0
"PMCN01" 4.105514 0.18885748 0 0.60260177 0 0 1.5160652 0 0.07460434 0.077629164 0 0.5827044 0.4342501 0 0.22368245 0.67054677 0 0.37472054 0 0 0 0 0.3444778 0 0 0 0 0 0 0 0 0 0.3804156 0 0 0 0.5752507 0 0 0 1.1621116 0 0 0.11766107 0 0 0 0.275138 0 0 0 1.2583199 0 0 0.8873602 0 0 0.71136504 0 0
