"genome" "711_P-1-S" "711_P-1-M" "711_P-1-D" "711_P-2-S" "711_P-2-M" "711_P-2-D" "711_P-3-S" "711_P-3-M" "711_P-3-D" "712_P-1-S" "712_P-1-M" "712_P-1-D" "712_P-2-S" "712_P-2-M" "712_P-2-D" "712_P-3-S" "712_P-3-M" "712_P-3-D" "713_P-1-X1" "713_P-3-M" "713_P-3-X1" "714_P1_20-24" "714_P1_30-34" "714_P3_30-34" "715_P1_10-14" "715_P1_20-24" "715_P1_30-34" "715_P2_1-5" "715_P2_10-14" "715_P2_20-24" "715_P3_1-5" "715_P3_10-14" "715_P3_20-24" "715_P3_30-34" "716_P1_1-5" "716_P1_10-14" "716_P1_30-34" "716_P2_1-5" "716_P2_10-14" "716_P2_20-24" "716_P2_30-34" "716_P3_1-5" "716_P3_10-14" "716_P3_20-24" "716_P3_30-34" "717_P1_10-14" "717_P1_20-24" "717_P2_1-5" "717_P2_10-14" "717_P2_20-24" "717_P3_1-5" "717_P3_10-14" "717_P3_20-24"
"PMOO01" 0 0.65929455 0 0 0.48521212 0 0 0.8810699 0.4815605 0 0.9047597 0.37240443 0 0.17805901 0.43235737 0 0.1920101 0 0.10521306 0.53253114 0 3.516725 0 0.20001665 0 0 0.52991325 0 0.12819608 0.13748665 0 0 0 0.30387497 0 0 0.10455194 0 0.3157593 0.17521714 0 0.16058142 0 0.124055915 0.19939615 0.1691338 0 0 0.42245027 0.3418751 0 0 0.764665
"20120700_P3D_97" 0 0 0.5084025 0 0 6.2881393 0 0 8.768962 0 0 4.415262 0 0 0.1682774 0 0 3.0060577 1.0837982 0 0.44046682 0.8457827 1.3570732 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.23566568 0 0 0.1113558 1.1814423 0 0 0 0 2.7977645 0 0 0
"PMLV01" 0 0.1879826 2.5775125 0 0.31336612 8.236422 0 0.28516823 2.434126 0 0.21912257 4.4270654 0 0.07060417 2.3865616 0 0.17062476 3.6325881 1.3089529 0.06227041 1.1892575 0.58239216 0 0.5591376 0 0 0.057799656 0 0.062230494 0.9367033 0 0 0 0.25914896 0 0 0.8435119 0.1261131 0 0.48819405 0.61345685 0.05862345 0 0.29629672 1.2222612 0 1.1354547 0 0.6186667 2.5220218 0 0 0.5654527
"20120700_P3D_25" 0 0 1.3815551 0 0 0.26292542 0 0 0.059810355 0 0 0.39630446 0 0 0 0 0 1.1495802 0 0 0 0.12955669 0.083664946 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.3175681 0 0 0 0 0.15647514 0 0 0.3948206
"PMTF01" 0 0.11254055 1.4170924 0 0 79.92646 0 0.12350683 9.792456 0.07347233 0.06414161 46.77371 0 0 34.49945 0 0 1.1553345 0.5736175 0 0.32289743 12.053573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.6235309 0.06253579 0 0.63248336 0.6013223 0 0 0.104948446 5.370191 0 0 0 3.98978 57.078392 0 0 8.008297
"20110800_P1D_22" 0 0 0.99036413 0 0 0.20899571 0 0 0.21167919 0 0 2.732219 0 0 1.6906725 0 0 0 0 0 0 6.0257144 0.14359728 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.16564332 0 0 0 0 0.14327282 0 0 0 0.08650648 1.0368795 0 0 2.0888493
"20110700_P2D_30" 0 0 0.8919924 0 0 17.419424 0 0 29.159008 0 0 19.930538 0 0 5.7633986 0 0 0.6328045 6.9329977 0 1.1041499 4.310628 0 0 0 0 0 0 0 0.41039887 0 0 0 0 0 0 2.1660438 0.29515088 0 0.55914694 7.6967735 0 0 0.56833327 4.639862 0 0.3945593 0 0.36570722 12.079567 0 0 3.5719814
"20120700_P3D_136" 0 0 1.0590401 0 0 7.652571 0 0 0.15441592 0 0 2.576481 0 0 0.10639445 0 0 4.036543 0 0 0.06899427 7.4870296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19920464 0 0 0 0 16.619692 0 0 0
"20110800_P2D_12" 0 0 2.8951833 0 0 10.413725 0 0 0 0 0 0 0 0 0 0 0 1.651541 0 0 0 5.1177583 2.9184325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9376014 0 0 0 0 0.28044957 0 0 0.056452792
"20120700_P3D_38" 0 0.10604115 0.629835 0 0 2.929569 0 0 3.343076 0 0 0.5835126 0 0 0.8754605 0 0 0.7742238 0.33873004 0 0 2.286296 4.198066 0 0 0 0 0 0 0 0 0 0 0 0 0 0.24477829 0 0 0.2926692 0 0 0 0.12460777 2.5178285 0 0 0 1.2894735 3.9868886 0 0 0.7488248
"20120700_P3D_84" 0 0.88114274 2.1046197 0 0 37.717846 0 0.119869255 5.0765443 0 0 2.9845257 0 0 3.4833255 0 0 24.240145 0.325008 0 0.114999615 6.9475408 3.6234639 0 0 0 0 0 0 0 0 0 0 0 0 0 4.046047 0.6114921 0 1.0725949 0.17512767 0 0 1.1595495 8.95255 0 0.094230756 0 3.9961138 35.756466 0.10707218 0 4.5044026
"20120700_P3D_5" 0 0 6.613466 0 0 0.26966822 0 0 0 0 0 0 0 0 0 0 0 16.505775 0 0 0 2.740792 0.31116447 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.312786 0 0 0 0 0.19431038 0 0 0
"20110600_P1M_17" 0 0 0.4307169 0 0 19.720219 0 0 8.136197 0 0 4.32166 0 0 0.14074174 0 0 0.9777547 0.15547284 0 0 2.6544924 0.30228734 0 0 0 0 0 0 0.12078099 0 0 0 0.15158923 0 0 0.37247577 0 0 0.23262776 0.09247747 0 0 0.3787314 21.85795 0 0.24345554 0 0.18034151 34.20556 0 0 3.2140539
"20120700_P3D_40" 0.28930527 1.8004394 1.3531641 2.0560174 2.0598168 0.313558 0.77552634 5.729583 0.9800253 0.5767292 5.3867207 0.535554 0.32107794 8.437365 1.2537371 0.60396 2.522174 1.1051189 0.60253495 2.2876556 0.22851664 1.4197727 1.339286 1.6987183 1.4011105 2.3740406 3.9361243 0.38755563 3.1690936 1.1414515 1.3591735 1.3124202 3.5517273 2.89942 0.1485901 0.75617635 0.3418031 2.0122602 2.6702766 1.8730773 1.015463 2.755172 1.860248 3.0209901 0.6663638 4.0998716 1.1634196 0.95281285 0.47667804 0.90320116 2.8966365 2.4291112 2.034667
"20111000_P3M_44" 0 0 8.423144 0 0 5.586382 0 0 0.33720365 0 0 1.18109 0 0 0 0 0 3.527714 0 0 0.086692214 0.8896508 7.9805207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.80567497 0 0 0 0 1.4653714 0 0 0
