WP_016921576.1_pmoA_Methylocystis_parvus	pmoA; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__Methylocystis_parvus
AAC45295.2_pmoA_Methylocystis_sp._M	pmoA; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__
BAA92239.1_amoA_Nitrosomonas_sp._TK794	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__
AAG60667.1_amoA_Nitrosomonas_cryotolerans_ATCC_49181	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__
BAB84331.1_amoA2_Nitrosomonas_sp._ENI-11	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__
AAL86636.1_amoA_Nitrosomonas_sp._GH22	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__
AAL86638.1_amoA_Nitrosomonas_sp._JL21	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__
CAD85974.1_amoA_Nitrosomonas_europaea_ATCC_19718	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas_europaea
CAE47800.1_pmoA_Methylocystis_sp._SC2	pmoA; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__
AAU92182.1_pmoA_Methylococcus_capsulatus_str._Bath	pmoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__Methylococcus_capsulatus
ABA58955.1_amoA_pmoA_Nitrosococcus_oceani_ATCC_19707	amoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Nitrosococcus; s__Nitrosococcus_oceani
BAE86885.1_pmoA_Methylotuvimicrobium_japanense	pmoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylotuvimicrobium; s__Methylotuvimicrobium_japanese
ABI60535.1_amoA_Nitrosomonas_eutropha_C91	amoA; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__Nitrosomonas_eutropha
ABK77038.1_amoA_Cenarchaeum_symbiosum_A	amoA; d__Archaea; p__Thaumarchaeota; c__incertae_sedis; o__Cenarchaeales; f__Cenarchaeaceae; g__Cenarchaeum; s__Cenarchaeum_symbiosum
BAF49660.1_pmoA_Methylocaldum_sp._T-025	pmoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylocaldum; s__
ABX13396.1_hypothetical_protein_Nmar_1500_Nitrosopumilus_maritimus_SCM1	amoA; d__Archaea; p__Nitrososphaerota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosopumilus; s__Nitrosopumilus_maritimus
ABX56597.1_pmoA_Methylacidiphilum_infernorum_V4	pmoA; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum_infernorum
EDZ67928.1_amoA_Nitrosococcus_oceani_AFC27	amoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Nitrosococcus; s__Nitrosococcus_oceani
ACK55193.1_pmoA3_Methylacidiphilum_kamchatkense_Kam1	pmoA; d__Bacteria; p__Verrucomicrobia; c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae; g__Methylacidiphilum; s__Methylacidiphilum_kamchatkense
EET30529.1_pmoA_amoA_Nitrosomonas_sp._AL212	unknown; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Nitrosomonadaceae; g__Nitrosomonas; s__
ACE95890.2_pmoA_Methylomonas_sp._LW13	pmoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__
ACE95893.2_pmoA_Methylomonas_methanica	pmoA; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__Methylomonas_methanica
CUQ66826.1_amoA_Candidatus_Nitrospira_inopinata	amoA; d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Candidatus_Nitrospira_inopinata
WP_107560874.1_pmoA_amoA_Candidatus_Methylomirabilis_limnetica	pmoA; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia; o__Methylomirabilales; f__Methylomirabilaceae; g__Methylomirabilis; s__Methylomirabilis_limnetica
WP_062484767.1_pmoA_amoA_Candidatus_Nitrospira_inopinata	amoA; d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Candidatus_Nitrospira_inopinata
WP_114970865.1_pmoA_amoA_Rhodoferax_ferrireducens	unknown; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Rhodoferax; s__Rhodoferax_ferrireducens
