"Habitat"	"Depth.Interval"	"granularity"	"corrected_.pvalue"	"R2"	"Test_direction"	"corrected_.pvalue_sigflag"	"MantelY"	"MantelX"	"lens"
"Palsa"	"0-9"	"Composition - Marker genes - phylum"	0.626	0.098	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"10-19"	"Composition - Marker genes - phylum"	0.894	0.025	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"20-29"	"Composition - Marker genes - phylum"	0.894	0.027	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"30-39"	"Composition - Marker genes - phylum"	0.626	0.106	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"0-9"	"Composition - Marker genes - phylum"	0.894	0.019	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"10-19"	"Composition - Marker genes - phylum"	0.626	0.062	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"20-29"	"Composition - Marker genes - phylum"	0.626	0.152	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"30-39"	"Composition - Marker genes - phylum"	0.894	0.023	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"0-9"	"Composition - Marker genes - phylum"	0.894	0.021	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"10-19"	"Composition - Marker genes - phylum"	0.626	0.181	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"20-29"	"Composition - Marker genes - phylum"	0.894	0.037	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"30-39"	"Composition - Marker genes - phylum"	0.012	0.601	"Change with time"	"*"	NA	NA	"Organisms"
"Palsa"	"0-9"	"Composition - Marker genes - genus"	0.473	0.083	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"10-19"	"Composition - Marker genes - genus"	0.612	0.076	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"20-29"	"Composition - Marker genes - genus"	0.873	0.059	"Change with time"	NA	NA	NA	"Organisms"
"Palsa"	"30-39"	"Composition - Marker genes - genus"	0.473	0.11	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"0-9"	"Composition - Marker genes - genus"	0.473	0.069	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"10-19"	"Composition - Marker genes - genus"	0.473	0.073	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"20-29"	"Composition - Marker genes - genus"	0.473	0.085	"Change with time"	NA	NA	NA	"Organisms"
"Bog"	"30-39"	"Composition - Marker genes - genus"	0.873	0.042	"Change with time"	NA	NA	NA	"Organisms"
"Fen"	"0-9"	"Composition - Marker genes - genus"	0.507	0.039	"Change with time"	NA	NA	NA	"Organisms"
