"Site__","Year__","Interval","Start_Date","End_Date","Sampling_Date","samplingdate_mean_AirTemperature","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","n_AirTemperature","median_AirTemperature","mean_AirTemperature","sd_AirTemperature","n_WTD","median_WTD","mean_WTD","sd_WTD"
"Eriophorum Autochamber Site",2011,"7d",2011-07-05,2011-07-12,2011-07-12,9.2,5.7,11.8,8,14.35,14.1,3.08127988249781,4,10,9.75,0.5
"Eriophorum Autochamber Site",2012,"7d",2012-07-13,2012-07-20,2012-07-20,8.6,6.3,11.7,8,10.35,10.425,1.64468842033985,5,15,13.7,3.63318042491699
"Eriophorum Autochamber Site",2013,"7d",2013-07-17,2013-07-24,2013-07-24,16.2,9.5,22.9,8,9.8,10.6125,2.61229920622756,6,10.75,11.9166666666667,3.27744819435284
"Eriophorum Autochamber Site",2014,"7d",2014-07-10,2014-07-17,2014-07-17,13.2,10.9,15.6,8,18.65,18.1625,2.7861583895085,3,9,8.83333333333333,0.763762615825973
"Eriophorum Autochamber Site",2015,"7d",2015-07-08,2015-07-15,2015-07-15,13.09,6.22,19.13,8,12.61,11.26375,2.81200963979246,4,10,10,0
"Eriophorum Autochamber Site",2016,"7d",2016-07-16,2016-07-23,2016-07-23,18.52,12.7,25.84,8,10.695,12.62,4.23692610947404,3,10.5,13.1666666666667,5.05799696849784
"Eriophorum Autochamber Site",2017,"7d",2017-07-17,2017-07-24,2017-07-24,13.58,6.88,19.4,8,9.97,10.57625,2.10596389536275,1,10,10,NA
"Palsa Autochamber Site",2011,"7d",2011-07-05,2011-07-12,2011-07-12,9.2,5.7,11.8,8,14.35,14.1,3.08127988249781,0,NA,NA,NA
"Palsa Autochamber Site",2012,"7d",2012-07-13,2012-07-20,2012-07-20,8.6,6.3,11.7,8,10.35,10.425,1.64468842033985,0,NA,NA,NA
"Palsa Autochamber Site",2013,"7d",2013-07-18,2013-07-25,2013-07-25,16.2,9.1,22.2,8,9.85,11.4125,3.2339438549769,0,NA,NA,NA
"Palsa Autochamber Site",2014,"7d",2014-07-12,2014-07-19,2014-07-19,16.9,10.5,21.9,8,17.5,17.325,2.42472384289133,0,NA,NA,NA
"Palsa Autochamber Site",2015,"7d",2015-07-08,2015-07-15,2015-07-15,13.09,6.22,19.13,8,12.61,11.26375,2.81200963979246,0,NA,NA,NA
"Palsa Autochamber Site",2016,"7d",2016-07-17,2016-07-24,2016-07-24,16.31,12.93,20.76,8,12.94,13.32125,4.33682714007108,0,NA,NA,NA
"Palsa Autochamber Site",2017,"7d",2017-07-13,2017-07-20,2017-07-20,8.51,3.53,12.82,8,8.64,9.135,1.25454601919807,0,NA,NA,NA
"Sphagnum Autochamber Site",2011,"7d",2011-07-05,2011-07-12,2011-07-12,9.2,5.7,11.8,8,14.35,14.1,3.08127988249781,4,-8,-7.83333333333333,1.40105780143539
"Sphagnum Autochamber Site",2012,"7d",2012-07-13,2012-07-20,2012-07-20,8.6,6.3,11.7,8,10.35,10.425,1.64468842033985,5,-1,-1.33333333333333,1.85592145427667
"Sphagnum Autochamber Site",2013,"7d",2013-07-18,2013-07-25,2013-07-25,16.2,9.1,22.2,8,9.85,11.4125,3.2339438549769,6,-6,-5.77777777777778,2.12829265601083
"Sphagnum Autochamber Site",2014,"7d",2014-07-09,2014-07-16,2014-07-16,16.1,12.9,19.1,8,19.2,19.1375,2.07566684637561,2,-14,-14,2.35702260395516
"Sphagnum Autochamber Site",2015,"7d",2015-07-07,2015-07-14,2015-07-14,13.69,6.26,19.07,8,10.97,10.695,2.84975186889766,4,-3.8,-4.15,0.798841754134164
"Sphagnum Autochamber Site",2016,"7d",2016-07-19,2016-07-26,2016-07-26,17.1,11.86,23.3,8,15.75,14.86,3.71431978006356,2,-1.75,-1.75,0.353553390593274
"Sphagnum Autochamber Site",2017,"7d",2017-07-14,2017-07-21,2017-07-21,10.39,3.21,16.87,8,9.12,9.4225,1.24435582876098,2,-4.5,-4.5,1.64991582276861
"Eriophorum Autochamber Site",2011,"14d",2011-06-28,2011-07-12,2011-07-12,9.2,5.7,11.8,15,12.9,12.9933333333333,2.81715831155811,7,10,10.4285714285714,1.13389341902768
"Eriophorum Autochamber Site",2012,"14d",2012-07-06,2012-07-20,2012-07-20,8.6,6.3,11.7,15,9.9,10.32,1.55664474339615,10,11.25,8.9,8.43537524687287
"Eriophorum Autochamber Site",2013,"14d",2013-07-10,2013-07-24,2013-07-24,16.2,9.5,22.9,15,9.6,10.04,1.98054826464074,9,11,11.6111111111111,2.63127556730782
"Eriophorum Autochamber Site",2014,"14d",2014-07-03,2014-07-17,2014-07-17,13.2,10.9,15.6,15,18.6,17.1866666666667,4.0259633570589,4,8.5,8.625,0.75
"Eriophorum Autochamber Site",2015,"14d",2015-07-01,2015-07-15,2015-07-15,13.09,6.22,19.13,14,9.885,10.3064285714286,2.46856734266552,8,10,10.1875,0.530330085889911
"Eriophorum Autochamber Site",2016,"14d",2016-07-09,2016-07-23,2016-07-23,18.52,12.7,25.84,15,10.69,12.1146666666667,3.52459291806802,5,11,14,4.80884601541784
"Eriophorum Autochamber Site",2017,"14d",2017-07-10,2017-07-24,2017-07-24,13.58,6.88,19.4,15,10.39,10.4906666666667,1.933411000082,2,10.5,10.5,0.707106781186548
"Palsa Autochamber Site",2011,"14d",2011-06-28,2011-07-12,2011-07-12,9.2,5.7,11.8,15,12.9,12.9933333333333,2.81715831155811,0,NA,NA,NA
"Palsa Autochamber Site",2012,"14d",2012-07-06,2012-07-20,2012-07-20,8.6,6.3,11.7,15,9.9,10.32,1.55664474339615,0,NA,NA,NA
"Palsa Autochamber Site",2013,"14d",2013-07-11,2013-07-25,2013-07-25,16.2,9.1,22.2,15,9.8,10.5333333333333,2.50247496538546,0,NA,NA,NA
