"DepthID","SampleID__","SampleID_old__","Month__","Year__","Date__","Site__","Core__","DepthAvg__","ALD.cm__","WTD.cm_neg_is_below_sfc__","T_air.deg_C","T_soil.deg_C","n_WTD_21d","pct_time_below_WTD_21d","n_WTD_28d","pct_time_below_WTD_28d","n_WTD_july","pct_time_below_WTD_july","n_WTD_growing","pct_time_below_WTD_growing","n_WTD_all_growing","pct_time_below_WTD_all_growing"
"19d13f8d-574b-439c-94de-4318f5c85a81","MainAutochamber.201107_E_1_1to4","201107_E1_01-04",7,2011,"2011-07-12","Eriophorum Autochamber Site",1,2.5,"Below Detection (>90)","20.0",10.9,NA,11,1,15,1,18,1,20,1,61,1
"fe1cd940-7edd-4ee4-ba2c-78c8bef2369c","MainAutochamber.201107_E_1_5to8","201107_E1_05-08",7,2011,"2011-07-12","Eriophorum Autochamber Site",1,6.5,"Below Detection (>90)","20.0",10.9,NA,11,1,15,1,18,1,20,1,61,1
"8aaea16f-c40c-4e71-a409-546de49ed489","MainAutochamber.201107_E_1_21to24","201107_E1_21-24",7,2011,"2011-07-12","Eriophorum Autochamber Site",1,22.5,"Below Detection (>90)","20.0",10.9,NA,11,1,15,1,18,1,20,1,61,1
"7d5821a1-5fff-4306-a2c4-359f5082c06a","MainAutochamber.201107_E_2_1to4","201107_E2_01-04",7,2011,"2011-07-12","Eriophorum Autochamber Site",2,2.5,"Below Detection (>90)","7.0",11.6,NA,11,1,15,1,18,1,20,1,61,1
"e1d85bcc-badf-4399-a16b-6ceec50fda13","MainAutochamber.201107_E_2_5to8","201107_E2_05-08",7,2011,"2011-07-12","Eriophorum Autochamber Site",2,6.5,"Below Detection (>90)","7.0",11.6,NA,11,1,15,1,18,1,20,1,61,1
"0f9c738e-3ad2-461f-ae1b-6a03ecf14e1a","MainAutochamber.201107_E_2_24to27","201107_E2_24-27",7,2011,"2011-07-12","Eriophorum Autochamber Site",2,25.5,"Below Detection (>90)","7.0",11.6,NA,11,1,15,1,18,1,20,1,61,1
"f8cb8217-c10f-405e-9dec-4ebac33ce55c","MainAutochamber.201107_E_3_1to4","201107_E3_01-04",7,2011,"2011-07-12","Eriophorum Autochamber Site",3,2.5,"Below Detection (>90)","16.0",11,NA,11,1,15,1,18,1,20,1,61,1
"63de5498-00f8-4969-bbcd-594a4e855497","MainAutochamber.201107_E_3_5to8","201107_E3_05-08",7,2011,"2011-07-12","Eriophorum Autochamber Site",3,6.5,"Below Detection (>90)","16.0",11,NA,11,1,15,1,18,1,20,1,61,1
"f7c54f1f-2f86-47d6-9023-59c1d9ceb19f","MainAutochamber.201107_E_3_21to24","201107_E3_21-24",7,2011,"2011-07-12","Eriophorum Autochamber Site",3,22.5,"Below Detection (>90)","16.0",11,NA,11,1,15,1,18,1,20,1,61,1
"df1a6250-0adb-4554-b1e8-5b9a44e2ec5d","MainAutochamber.201107_P_1_1to4","201107_P1_01-04",7,2011,"2011-07-12","Palsa Autochamber Site",1,2.5,"36.5","Not Detected",11.6,NA,0,0,0,0,0,0,0,0,0,0
"56003e89-b8f4-4bbf-a5ab-5bb4015f3f07","MainAutochamber.201107_P_1_16to19","201107_P1_16-19",7,2011,"2011-07-12","Palsa Autochamber Site",1,17.5,"36.5","Not Detected",11.6,NA,0,0,0,0,0,0,0,0,0,0
"8e4de9b9-7e16-46b5-a150-a3f115b6840e","MainAutochamber.201107_P_1_30to33","201107_P1_30-33",7,2011,"2011-07-12","Palsa Autochamber Site",1,31.5,"36.5","Not Detected",11.6,NA,0,0,0,0,0,0,0,0,0,0
"1fce3d08-7409-4b21-95ed-dece5cbb1792","MainAutochamber.201107_P_2_1to4","201107_P2_01-04",7,2011,"2011-07-12","Palsa Autochamber Site",2,2.5,"36.0","Not Detected",11.6,NA,0,0,0,0,0,0,0,0,0,0
"1df291ec-7547-409b-90a4-31b8de09e1b2","MainAutochamber.201107_P_2_16to19","201107_P2_16-19",7,2011,"2011-07-12","Palsa Autochamber Site",2,17.5,"36.0","Not Detected",11.6,NA,0,0,0,0,0,0,0,0,0,0
"d7d9155c-75d6-4d8a-9c10-238bbb5011f0","MainAutochamber.201107_P_2_30to33","201107_P2_30-33",7,2011,"2011-07-12","Palsa Autochamber Site",2,31.5,"36.0","Not Detected",11.6,NA,0,0,0,0,0,0,0,0,0,0
"17c97ffd-3e03-40f3-a452-188130811206","MainAutochamber.201107_P_3_1to4","201107_P3_01-04",7,2011,"2011-07-12","Palsa Autochamber Site",3,2.5,"40.0","Not Detected",11.8,NA,0,0,0,0,0,0,0,0,0,0
"2e914bcb-73ba-4f1e-ab7f-bacd27ffd4d6","MainAutochamber.201107_P_3_19to21","201107_P3_19-21",7,2011,"2011-07-12","Palsa Autochamber Site",3,20,"40.0","Not Detected",11.8,NA,0,0,0,0,0,0,0,0,0,0
"f27c4e66-651f-4777-bc81-a3cf669a5653","MainAutochamber.201107_P_3_34to37","201107_P3_34-37",7,2011,"2011-07-12","Palsa Autochamber Site",3,35.5,"40.0","Not Detected",11.8,NA,0,0,0,0,0,0,0,0,0,0
"b97cdc94-8ed1-4189-bda4-c75dc14a19e8","MainAutochamber.201107_S_1_1to4","201107_S1_01-04",7,2011,"2011-07-12","Sphagnum Autochamber Site",1,2.5,"Below Detection (>90)","-12.0",10.8,NA,11,0.181818181818182,15,0.133333333333333,18,0,20,0.1,61,0.0491803278688525
"6ec59a5f-d22a-4c5f-8c24-f9ffaa3721d8","MainAutochamber.201107_S_1_11to14","201107_S1_11-14",7,2011,"2011-07-12","Sphagnum Autochamber Site",1,12.5,"Below Detection (>90)","-12.0",10.8,NA,11,1,15,0.8,18,0.944444444444444,20,0.85,61,0.704918032786885
"11ca2097-1bdf-44fa-aae2-24a28dec1ce9","MainAutochamber.201107_S_1_17to20","201107_S1_17-20",7,2011,"2011-07-12","Sphagnum Autochamber Site",1,18.5,"Below Detection (>90)","-12.0",10.8,NA,11,1,15,1,18,1,20,1,61,0.983606557377049
"9cb75c3b-32d7-4b93-971a-579db68684d7","MainAutochamber.201107_S_2_13to16","201107_S2_13-16",7,2011,"2011-07-12","Sphagnum Autochamber Site",2,14.5,"Below Detection (>90)","-14.0",11.1,NA,11,1,15,0.933333333333333,18,0.944444444444444,20,0.95,61,0.80327868852459
"9f2486bb-9caf-43bb-936f-4327a6a5fc95","MainAutochamber.201107_S_2_19to21","201107_S2_19-21",7,2011,"2011-07-12","Sphagnum Autochamber Site",2,20,"Below Detection (>90)","-14.0",11.1,NA,11,1,15,1,18,1,20,1,61,1
