"genome" "711_S-1-M" "711_S-1-D" "711_S-2-M" "711_S-2-D" "711_S-3-M" "712_S-1-S" "712_S-1-M" "712_S-1-D" "712_S-1-X" "712_S-2-D" "712_S-2-X" "712_S-3-D" "712_S-3-X" "713_S-1-M" "713_S-1-D" "713_S-1-X0" "713_S-1-X1" "713_S-2-S" "713_S-2-M" "713_S-2-D" "713_S-2-X0" "713_S-3-S" "713_S-3-M" "713_S-3-D" "713_S-3-X0" "713_S-3-X1" "714_S1_1-5" "714_S1_5-9" "714_S1_10-14" "714_S1_20-24" "714_S1_30-34" "714_S2_20-24" "714_S3_5-9" "714_S3_10-14" "714_S3_20-24" "714_S3_30-34" "715_S1_1-5" "715_S1_10-14" "715_S1_20-24" "715_S1_30-34" "715_S2_10-14" "715_S2_20-24" "715_S2_30-34" "715_S3_20-24" "715_S3_30-34" "716_S1_10-14" "716_S1_20-24" "716_S1_30-34" "716_S2_20-24" "716_S2_30-34" "716_S3_10-14" "716_S3_20-24" "716_S3_30-34" "717_S2_10-14" "717_S2_20-24" "717_S2_30-34" "717_S3_1-5" "717_S3_10-14" "717_S3_20-24"
"PMEE01" 0 0 0.54841095 2.2836814 0 0 0 0 4.2661157 0 0.8963082 0 0 0 0 0 0 0 0 0.6303036 0.7922949 0 0 0 0 0 0 0 0 0.123624146 2.0905406 0 0 0 0 0 0 0 0 0 0 0 0.19614446 0 0 0 0 0 0 0 0 0 0.13575996 0 0 0 0 0 0.14701131
"20120600_E2D_39" 0 0 0 0.1180896 0 0 0 0 0.11753293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120600_E1D_41" 0 0 1.6971722 2.1028435 0 0 0 0.29309177 0.8916005 0.3478272 0 0 0 0 0 0 0 0 0.4649509 1.0633131 1.0711808 0 0 0 0 0 0 0 0.26176113 0.75905675 1.0387962 0 0 0 0 0 0 0.06888346 0.6731359 0.2619761 0 0.5580543 0.594066 0 0 0 0 0 0 0 0 0.60901666 0.4828902 0 0 0 0 0.5199112 1.3628914
"20110800_S1D_5" 0 0 6.9033585 55.240105 0.1805264 0 0 0.6469426 55.21831 0.94806075 15.924792 0.21937095 0.20668943 0 0 3.5943546 4.9544907 0 0.95704937 7.9740295 86.81285 0 0 0 0.23961434 0.27069688 0 0 0.6843495 25.042208 73.4868 2.5985684 0 0 0.05869506 0.71249515 0 0.0617299 10.748738 7.159783 0 6.562449 44.263645 24.99066 36.974068 0 0.36485714 1.9253869 0.40463465 6.4542212 0 4.2074986 46.66468 0 0.3571537 1.4068292 0 1.3041993 39.1145
"20110800_S1M_32" 0 0 0.09046042 15.747686 0 0 0 0 0.5602428 1.6934674 0 0 0 0 0 9.506285 0 0 0 0 0.6798034 0 0 0 0 0 0 0 0 5.559631 0.34088042 0.326604 0 0 0 0 0 0 1.3786713 0 0 0 0.23877701 0 0 0 0 0 0 0 0.34948206 1.4403707 2.9129918 0 0 0 0 0.83260846 5.971282
"20120700_P3D_9" 0 0 0.11604723 0 0 0 0 0 0.34258673 0 0 0 0 0 0 0 0 0 0 0 0.3186041 0 0 0 0 0.35023203 0 0 0 0.20586003 0.29084346 0 0.14065984 0.7017565 0.22083172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11741104 0 0 0 0 0.2516471 0.9675989
"20170700_S34_13" 0 0 5.2020698 0.14599495 0 0 0 1.0707879 0.15867738 0 0 0 0 0 0 0 0 0 5.4312167 0.4682721 0.11464001 0 0 0 0 0 0 0 0 0.22831137 0 0 0 0.2416587 0 0 0 0.26838934 0.20946449 0 0 0.16958271 0.75909007 0 0 0 0 0 0 0 0 0.15853095 0.2548174 0 0 0 0 0.08060329 9.457149
"20170700_S34_2" 0 0 0 9.352201 0 0 0 0 23.685917 0 38.14055 0 0 0 0 0 2.862338 0 0 0 15.877012 0 0 0 0 0 0 0 0.066787064 3.5370612 31.720945 0 0 0 0 0 0 0 0.25511175 4.240299 0 0 10.984141 5.458521 11.100248 0 0 0 0 0.74458355 0 0 13.453226 0 0 0 0 0 11.033496
"20110800_E2D_31" 0 0 0.26666284 1.1990137 0 0 0 0 1.6629206 0 2.345181 0 0 0 0 0 0.17966373 0 0 0.54642177 1.583455 0 0 0 0 0 0 0 0 0.70505863 2.2886703 0 0 0 0 0 0 0 0 0.73045087 0 0 1.3531437 0.4455967 1.0294447 0 0 0.11408076 0 0.3825687 0 0.10358456 2.669332 0 0 0.8134575 0 0 0.9954406
"20130700_C1D_14" 0 0 0 0.122731514 0 0 0 0 0.15584873 0 0.2200993 0 0 0 0 0 0 0 0 0 0.14981382 0 0 0 0 0 0 0 0 0.065266386 0.21407612 0 0 0 0 0 0 0 0 0 0 0 0.12637651 0 0.09578667 0 0 0 0 0 0 0 0.2663822 0 0 0.09837773 0 0 0.087242834
"20130700_C2M_8" 0 0 0 0 0 0 0 0 0.120847754 0 0 0 0 0 0 0 0 0 0 0 0.13056716 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_S25_3" 0 0 0 0.6671052 0 0 0 0 0.26740244 0 0.80433834 0 0 0 0 0 0.21194716 0 0 0.19156396 0.21402098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.378541 0 0 0 24.673271 0.09370167 0.2002967 0 0 0.16630037 0 0 0 0 0.71348524 0 0 0 0 0 0
"20170700_S34_41" 0 0 21.764503 6.7577095 0 0 0 0.5090583 2.6019423 0.35088682 4.5150704 0 0 0 0 0 0 0 0.57903546 17.39451 4.453553 0 0 0 0 0 0 0 1.7070447 14.97584 22.353653 0 0 0 0 0 0 0 0.5096311 0.3636506 0 6.62175 4.182183 0.683473 0.895149 0 0 0 0 0 0 0.4354801 8.549669 0 0 0 0 0.64809245 11.866889
"20170700_S34_36" 0 0 1.1946667 5.5635247 0 0 0 0.091768384 0.8779198 0 0 0 0 0 0 0 0 0 0.10014551 1.2872658 1.2559723 0 0 0 0 0 0 0 0.079041705 3.4010391 0.7695306 0 0 0 0 0 0 0 2.5070665 0.12697954 0 0.6411162 2.0880632 0.75341946 0.21292244 0 0 0 0 0 0 1.354215 7.2446404 0 0 0 0 2.156536 8.707328
"20170700_E14_6" 0 0 0.6052754 1.5240805 0 0 0 0 7.6103706 0 0 0 0 0 0 0 0 0 0 0.5098631 6.757435 0 0 0 0 0 0 0 0.06847007 3.592432 33.312775 0 0 0 0 0 0 0 0 0 0 0 3.6751518 0.30052936 1.0094496 0 0 0 0 0 0 0 0.16015206 0 0 0 0 0 4.1849055
"20130700_S2Y_8" 0 0 0.4191408 1.2108485 0 0 0 0 17.879343 0 4.138529 0.09027281 0.0748978 0 0 0 0 0 0 0.42374614 4.338455 0 0 0 0 0 0 0 0 0.23019108 5.373649 0 0 0 0 0 0 0 0 0.09816841 0 0 0.30668193 0.25945044 0.3559697 0 0 0 0 0 0 0 0.27020544 0 0 0 0 0 0.8768652
"PMZK01" 0 0 0.12343637 0.37004793 0 0 0 0 0.6687147 0 0.3085923 0 0 0 0 0 0 0 0 0.22887087 0.29614687 0 0 0 0 0 0 0 0 0.1674475 0.5895385 0 0 0 0 0 0 0 0 0.056301735 0 0 0.1748807 0.17625055 0.27373052 0 0 0 0 0 0 0 0.089551665 0 0 0 0 0 0.28143463
"20120500_P26_12" 0 0 0.15289712 0.46870267 0 0 0 0 0.8049499 0 0.38260713 0 0 0 0 0 0 0 0 0.29379869 0.3329942 0 0 0 0 0 0 0 0 0.15734185 0.60742396 0 0 0 0 0 0 0 0 0.060840435 0 0 0.189529 0.19045784 0.31450662 0 0 0 0 0 0 0 0.10595164 0 0 0 0 0 0.33488888
"20110700_P2D_27" 0 0 0.17250215 0.5173514 0 0 0 0 1.171009 0 0.50928324 0.07050882 0.0658007 0 0 0 0 0 0 0.3401939 0.44646388 0 0 0 0 0 0 0 0 0.16634409 0.7133015 0 0 0 0 0 0 0 0 0.078023285 0 0 0.18077981 0.23682506 0.352922 0 0 0 0 0 0 0 0.111927114 0 0 0 0 0 0.40085417
"3300036929_5" 0 0 0.21012205 0.12077449 0.10789542 0 0 0 0.29362422 0 0.19817312 0.49286756 0.4689922 0 0 0 0 0 0 0.20292817 0.13918255 0 0 0 0 0 0 0 0 0.10753665 0.24191438 0.2901573 0 0 0.13812664 0 0 0 0 0.41331527 0 0 0.07491903 0.3004498 0.21987839 0 0.12437646 0.14148502 0 0 0 0 0 0 0 0 0 0.12528913 0.101719595
"3300037085_4" 0 0 0.09430728 0.0558033 0 0 0 0 0.3566376 0 0.14019363 0.22846124 0.21003877 0 0 0 0 0 0 0.21216717 0.13765202 0 0 0 0 0 0 0 0 0 0.13003017 0.18429528 0 0 0 0 0 0 0 0.48325062 0 0 0 0.26275125 0.13678648 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_E1X_5" 0 0 0.1074573 0 0 0 0 0 0.17285118 0 0 0 0 0 0 0 0 0 0 0.14973742 0 0 0 0 0 0 0 0 0 0 0.07487718 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120700_S1D_77" 0.26193315 0 1.7772533 2.5625927 0.24195415 0 0.05668353 2.4684546 0.54342675 0.9023773 0.6632256 0.084209576 0.08664882 0.83361435 0 0.8881987 0 0.22332099 0.532869 1.5661032 1.4043589 0.15759037 0.15356532 0.122186355 0.073248796 0 0 0 0.58258754 0.85388076 0.25618783 0.4790444 1.2566711 1.043386 0 0 0.2118085 0.94347584 4.19285 0.29195744 0.08036762 5.080388 0.80713886 2.821519 1.5845244 0.1700074 0.070224375 0 0 0 0.1873163 1.0839112 1.6396482 0 0 0 0.11894934 0 1.6925248
"20110700_S2D_6" 0 0 15.506732 19.033348 0 0.07411814 0 4.099045 1.1993902 2.0206234 0 0 0 0 0 0 0 0.057465497 16.12064 18.315481 14.361165 0 0 0 0 0 0 0 10.98428 16.967865 1.0868819 0 0 0 0 0 0 0 5.436884 2.4750042 0 8.117926 8.21025 13.414115 7.605652 0 0 0 0 0 0 1.9015161 7.6455054 0 0 0 0 0.7852134 8.43611
"20130700_S2Y_13" 0 0 0.34417015 0.4380258 0 0 0 0 8.13389 0 0 0 0 0 0 0 0 0 0 0 1.7680792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20150700_E15_18" 0 0 1.0136476 0.32924357 0 0 0 1.1934732 0.41388443 0 0 0.09636688 0 0 0 0 0 0 1.7157285 1.6832131 0.31465212 0 0 0 0 0 0 0 0.6661216 0.3427191 0.12738475 0 0 0 0 0 0 0.11414472 0.13575171 0.35485235 0 0.40506753 0.09819879 0.3319931 0.20088047 0 0 0.07517204 0 0 0 0 0.07337827 0 0 0 0 0 0.10340651
"Bog.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.33_96.24_0.54" 0 0 0 0 0 0 0 0 0.1665653 0 0 0 0 0 0 0 0 0 0 0 0.094515614 0 0 0 0 0 0 0 0 0 0.07068517 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20130700_C1Y_13" 0 0 5.3067436 1.4017897 0 0 0 0.8847264 1.7178197 1.0582764 6.2425404 0 0 0 0 0 0 0 3.4987504 1.2850655 1.8851352 0 0 0 0 0 0 0 3.3328304 0.06088503 1.1872618 0 0 0 0.30965036 0 0 0.2840657 0.1330792 5.1969666 0 0.58767337 0.13258313 0.27598906 1.7618049 0 0 0 0 0 0 0 0.08795458 0 0 0 0 0.11312027 0.33287942
"20130700_C2M_5" 0 0 0.4412349 1.2544539 0 0 0 0.08789828 0.33992437 0 0 0 0 0 0 0 0 0 0.34901544 0.22409557 0.50660205 0 0 0 0 0 0 0 0.06436682 0.61557704 0.4918976 0 0 0 0 0 0 0 0 0 0 0.23726745 0 0.07854797 0 0 0 0 0 0 0 0 0.26696604 0 0 0 0 0 0.44139826
"20120700_S1X_15" 0.06604632 0.35201177 11.203586 18.068779 0.61188084 0 0 1.668766 42.402252 0.72310805 5.457503 1.03409 1.0047604 0.33792868 0.4124666 0.15132557 0 0 1.3343532 14.434653 29.25329 0 0 0.3005997 0.65888864 0.5853259 0 0.061285492 2.6493053 4.042445 34.810802 0.40035 0 0.17704858 0.5578087 0.5944889 0 0.2944972 0.9942347 3.1853971 0 2.6435158 4.7685647 0.351235 1.9783828 1.5494949 1.3345423 0.8265111 0.2181568 0.31518504 0.07546619 0.3414259 12.002128 2.2517366 0.7446882 0.5121153 0 1.0078613 13.144621
"20120800_E3S_6" 0 0.119231224 1.3318976 0.9334744 0.22462387 0 0 0.40475425 1.0286665 0.23599084 1.1351819 0.36301652 0.34936535 0.1565587 0.15603916 0 0 0 0.38954306 1.0609883 0.9085077 0 0 0.10009508 0.16936146 0.11974716 0 0 0.7932581 0.25567785 0.82980645 0.094259895 0 0.07193486 0.21292527 0.11979173 0 0.06773457 0.19872479 1.2876958 0 0.48735723 0.4450571 0.088173285 0.46726733 0.47468132 0.28869197 0.23400728 0 0.068969 0 0 0.5024941 0.7837239 0.1861406 0.11704529 0 0.29949877 0.764692
"20120700_P3D_102" 0 0.16374512 0.76785314 0.4948224 0.3157436 0 0 0.33572736 0.6113517 0.23071805 0.6375641 0.39869645 0.38395324 0.25707176 0.21733928 0 0 0 0.35425165 0.53919566 0.4902825 0 0 0.14234094 0.16348259 0.09063754 0 0 0.6075123 0.15026242 0.35217637 0.09561172 0 0.120399855 0.30947694 0.076958016 0 0.06971324 0.12104977 1.4253511 0 0.33785558 0.22787596 0.11507976 0.33508092 0.49219078 0.18109252 0.23389134 0 0.07646215 0 0 0.24760522 0.846684 0.18873246 0.09834857 0 0.31031308 0.3520126
"20110600_S3M_2" 0 0.13595894 5.2488966 9.884823 0.3105608 0 0 1.2298194 2.395512 0.5674292 1.9149848 0.3666968 0.3436941 0.17186357 0.16175675 0 0 0 1.3545213 5.2893457 8.424147 0 0 0.10331718 0.15099442 0.07867764 0 0 3.5440483 4.5598435 2.904434 0.08675809 0 0.09901488 0.24618167 0.48494637 0 0.15373096 1.8985932 1.6471616 0 6.811424 6.044411 0.94708496 1.395041 0.41451102 0.1781808 0.19086754 0 0 0 0.47652003 6.1827245 0.7127902 0.15020452 0.08358532 0 0.7892008 8.069227
"20130700_C2M_9" 0 0 0.22704908 0.104597114 0 0 0 0.06248028 0.12759838 0 0.16059437 0.09262689 0.08569531 0 0 0 0 0 0.06959 0.12358787 0.10432315 0 0 0 0 0 0 0 0.14351492 0 0 0 0 0 0 0 0 0 0 0.38138726 0 0 0 0 0.06480275 0.09885078 0 0 0 0 0 0 0 0.18165843 0 0 0 0.065879345 0
"20110700_P2D_9" 0 0 0 0.08753826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09505899
"20110800_E3D_18" 0 0 0 0.08430065 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09102137
"20140700_S16_20" 0 0 0.44280732 0.7138526 0 0 0 0.12004683 4.6764917 0 0.7096672 0 0 0 0 0 0 0 0 7.3180723 1.6347755 0 0 0 0 0 0 0 0 1.4792433 1.7970368 0 0 0 0 0 0 0 0 0 0 0 0.062121756 0 0 0 0 0 0 0 0 0 0.76078236 0 0 0 0 0 0.74969536
"3300023248_5" 0 0 0.49999762 0.17541856 0 0 0 0.47650227 0.15692973 0.59093064 0 0 0 0 0 0 0 0 0.07868163 0.4005769 0.08043854 0 0 0 0 0 0 0 0.6585122 0.38310304 0.8014428 0.08080066 0 0 0 0 0 0 0 0.104734294 0 0.0852373 0 0 0.31464627 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20120800_E3X_27" 0 0 0.16757077 12.098934 0 0 0 1.5988187 192.2995 0.27164066 289.5066 0.2082979 0.18160893 0 0 0.090570554 6.474512 0.68651575 0.9726958 8.387799 174.72539 0 0 0 0 0.24830781 0.19691099 0.3338994 3.1753461 33.14853 531.2485 0.32229754 0 0 0 0.13068718 0 0 2.127552 22.378937 0 0.49962956 117.07477 17.689753 84.628944 0 2.2886157 41.97905 0 0 0 0 25.279099 0 0 1.2317178 0 0 29.944904
"20130700_C2Y_2" 0 0 0 0 0 0 0 0 0.4771116 0 0.27850252 0 0 0 0 0 0 0 0 0 0.20257461 0 0 0 0 0 0 0 0 0 0.656713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.19404972
"20120500_P26_5" 0 0 0 0 0 0 0 0 0.22350684 0 0 0 0 0 0 0 0 0 0 0 0.09021024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"20140700_S16_1" 0 0 0.42590672 1.0956312 0 0 0 0 6.05853 0.1963858 5.9324203 0 0 0 0.07654763 0.21038547 0.36870694 0 0 0.58682394 2.6400962 0 0 0 0 0 0 0 0 0.9555354 3.0354688 0.50555813 0 0 0 0 0 0 0.19243424 0.2691684 0 0.38804665 0.7961934 2.002221 0.97550225 0 0.29108754 0.5198522 0.11239627 0.5414541 0 0.2152547 1.3419918 0 0.08248301 0.45061263 0 0.060741942 0.674383
"20120700_S1X_12" 0 0 0.6860283 1.4785695 0 0 0 0.28223485 32.90235 0.93258727 23.297207 0.5013544 0.43050542 0 0 0.06325826 1.8256533 0 0.18836446 1.035758 18.351233 0 0 0 0.07933669 0.14603375 0 0 0.28108928 2.376577 36.677814 1.4959645 0 0.07653271 0 0.34931698 0 0 0.7655514 3.872738 0 0.50161016 9.179512 9.161746 8.152097 0 0 2.6337056 0 0.8446508 0 0.21484591 11.779424 0 0 0.109289736 0 0.16515318 3.5385506
